USERID,GENDER,RACE,AGE,PROVINCE,CHANNEL2,DURATION2,VIEW_DATE,VIEW_TIME,MONTH_NAME,DAY_OF_MONTH,DAY_NAME,DAY_TYPE,TIME_BUCKET,DURATION_BUCKET,AGE_BUCKET
903994,male,coloured,33,Western Cape,Trace TV,00:02:00.000,2016-01-04,20:09:00.000,Jan,4,Mon,Weekday,Prime Time (20:00 – 22:59),Very Short Engagement (00:01:00 – 00:02:59),Adults (25–34)
802352,None,None,0,None,ICC Cricket World Cup 2011,00:10:06.000,2016-03-30,11:04:00.000,Mar,30,Wed,Weekday,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Kids / Tweens (0–12)
866125,male,indian_asian,30,Gauteng,ICC Cricket World Cup 2011,00:00:42.000,2016-03-30,19:01:00.000,Mar,30,Wed,Weekday,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
2425604,female,white,51,Gauteng,ICC Cricket World Cup 2011,00:00:10.000,2016-03-25,17:23:00.000,Mar,25,Fri,Weekday,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Older Adults (45–54)
793571,female,white,9,Eastern Cape,SawSee,00:01:33.000,2016-02-02,19:18:00.000,Feb,2,Tue,Weekday,Early Evening (16:00 – 19:59),Very Short Engagement (00:01:00 – 00:02:59),Kids / Tweens (0–12)
793571,female,white,9,Eastern Cape,Boomerang,00:00:10.000,2016-03-18,18:56:00.000,Mar,18,Fri,Weekday,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Kids / Tweens (0–12)
793571,female,white,9,Eastern Cape,Channel O,00:17:15.000,2016-03-20,06:25:00.000,Mar,20,Sun,Weekend,Early Morning (06:00 – 08:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Kids / Tweens (0–12)
793571,female,white,9,Eastern Cape,Boomerang,00:01:13.000,2016-02-03,08:43:00.000,Feb,3,Wed,Weekday,Early Morning (06:00 – 08:59),Very Short Engagement (00:01:00 – 00:02:59),Kids / Tweens (0–12)
819248,None,None,0,None,Channel O,00:04:45.000,2016-03-31,12:01:00.000,Mar,31,Thu,Weekday,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Kids / Tweens (0–12)
820321,male,indian_asian,26,Kwazulu Natal,Cartoon Network,00:00:40.000,2016-01-09,10:25:00.000,Jan,9,Sat,Weekend,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
892453,male,indian_asian,34,Gauteng,Supersport Live Events,00:00:06.000,2016-03-24,11:09:00.000,Mar,24,Thu,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
892453,male,indian_asian,34,Gauteng,ICC Cricket World Cup 2011,05:01:12.000,2016-03-26,17:33:00.000,Mar,26,Sat,Weekend,Early Evening (16:00 – 19:59),Extended Event (04:00:00 – 07:59:59),Adults (25–34)
828799,male,None,38,Mpumalanga,Channel O,00:00:00.000,2016-02-28,10:09:00.000,Feb,28,Sun,Weekend,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
787656,male,black,26,Gauteng,Channel O,00:11:15.000,2016-02-15,10:40:00.000,Feb,15,Mon,Weekday,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Adults (25–34)
939566,male,None,29,Mpumalanga,Supersport Live Events,00:22:02.000,2016-01-09,17:40:00.000,Jan,9,Sat,Weekend,Early Evening (16:00 – 19:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Adults (25–34)
771778,male,black,21,Eastern Cape,Supersport Live Events,00:04:12.000,2016-02-05,15:47:00.000,Feb,5,Fri,Weekday,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
808915,male,black,37,Kwazulu Natal,SuperSport Blitz,00:01:14.000,2016-02-20,07:34:00.000,Feb,20,Sat,Weekend,Early Morning (06:00 – 08:59),Very Short Engagement (00:01:00 – 00:02:59),Mid Adults (35–44)
808915,male,black,37,Kwazulu Natal,Supersport Live Events,00:00:50.000,2016-02-21,15:45:00.000,Feb,21,Sun,Weekend,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
808916,male,None,43,Western Cape,E! Entertainment,00:01:42.000,2016-02-19,13:03:00.000,Feb,19,Fri,Weekday,Daytime (09:00 – 15:59),Very Short Engagement (00:01:00 – 00:02:59),Mid Adults (35–44)
808916,male,None,43,Western Cape,Boomerang,00:00:00.000,2016-02-19,22:15:00.000,Feb,19,Fri,Weekday,Prime Time (20:00 – 22:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
831679,male,coloured,27,Gauteng,Supersport Live Events,00:00:50.000,2016-03-01,05:17:00.000,Mar,1,Tue,Weekday,Overnight (01:00 – 05:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
808917,male,black,34,Gauteng,Break in transmission,00:00:26.000,2016-02-27,20:13:00.000,Feb,27,Sat,Weekend,Prime Time (20:00 – 22:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
808917,male,black,34,Gauteng,Supersport Live Events,00:00:24.000,2016-02-28,22:20:00.000,Feb,28,Sun,Weekend,Prime Time (20:00 – 22:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
939570,male,None,22,Gauteng,kykNET,00:01:24.000,2016-03-31,01:52:00.000,Mar,31,Thu,Weekday,Overnight (01:00 – 05:59),Very Short Engagement (00:01:00 – 00:02:59),Young Adults (18–24)
880213,male,indian_asian,33,Gauteng,Africa Magic,00:00:11.000,2016-03-30,21:13:00.000,Mar,30,Wed,Weekday,Prime Time (20:00 – 22:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
2255459,male,black,22,Mpumalanga,SawSee,00:00:15.000,2016-03-09,10:51:00.000,Mar,9,Wed,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Young Adults (18–24)
2255459,male,black,22,Mpumalanga,Channel O,00:07:54.000,2016-03-29,04:23:00.000,Mar,29,Tue,Weekday,Overnight (01:00 – 05:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
808921,male,black,24,Mpumalanga,Trace TV,00:18:27.000,2016-03-02,08:01:00.000,Mar,2,Wed,Weekday,Early Morning (06:00 – 08:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Young Adults (18–24)
808921,male,black,24,Mpumalanga,Channel O,00:00:48.000,2016-03-06,17:58:00.000,Mar,6,Sun,Weekend,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Young Adults (18–24)
831683,male,indian_asian,36,Kwazulu Natal,CNN,00:00:42.000,2016-02-25,21:48:00.000,Feb,25,Thu,Weekday,Prime Time (20:00 – 22:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
831683,male,indian_asian,36,Kwazulu Natal,Africa Magic,00:00:00.000,2016-02-25,17:59:00.000,Feb,25,Thu,Weekday,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
831683,male,indian_asian,36,Kwazulu Natal,ICC Cricket World Cup 2011,00:00:00.000,2016-03-04,09:21:00.000,Mar,4,Fri,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
761775,male,None,24,Gauteng,Cartoon Network,00:02:15.000,2016-02-04,16:12:00.000,Feb,4,Thu,Weekday,Early Evening (16:00 – 19:59),Very Short Engagement (00:01:00 – 00:02:59),Young Adults (18–24)
761775,male,None,24,Gauteng,SuperSport Blitz,00:01:14.000,2016-01-25,17:59:00.000,Jan,25,Mon,Weekday,Early Evening (16:00 – 19:59),Very Short Engagement (00:01:00 – 00:02:59),Young Adults (18–24)
866131,male,black,44,Western Cape,Boomerang,00:00:03.000,2016-03-07,19:16:00.000,Mar,7,Mon,Weekday,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
904019,female,black,25,Gauteng,Africa Magic,00:14:58.000,2016-03-29,18:03:00.000,Mar,29,Tue,Weekday,Early Evening (16:00 – 19:59),Short Form Programs (00:03:00 – 00:14:59),Adults (25–34)
939575,male,black,25,Gauteng,Africa Magic,00:01:22.000,2016-03-10,23:30:00.000,Mar,10,Thu,Weekday,Late Night (23:00 – 00:59),Very Short Engagement (00:01:00 – 00:02:59),Adults (25–34)
808923,male,other,23,Eastern Cape,SuperSport Blitz,00:01:12.000,2016-02-21,20:03:00.000,Feb,21,Sun,Weekend,Prime Time (20:00 – 22:59),Very Short Engagement (00:01:00 – 00:02:59),Young Adults (18–24)
808923,male,other,23,Eastern Cape,Trace TV,00:13:21.000,2016-02-17,20:45:00.000,Feb,17,Wed,Weekday,Prime Time (20:00 – 22:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
933014,male,black,19,Limpopo,Boomerang,00:00:00.000,2016-04-01,01:24:00.000,Apr,1,Fri,Weekday,Overnight (01:00 – 05:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Young Adults (18–24)
892461,male,indian_asian,30,Kwazulu Natal,SawSee,00:01:18.000,2016-03-12,10:24:00.000,Mar,12,Sat,Weekend,Daytime (09:00 – 15:59),Very Short Engagement (00:01:00 – 00:02:59),Adults (25–34)
892461,male,indian_asian,30,Kwazulu Natal,SawSee,00:00:00.000,2016-03-09,05:54:00.000,Mar,9,Wed,Weekday,Overnight (01:00 – 05:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
2255463,male,black,43,Gauteng,Boomerang,00:00:54.000,2016-03-31,15:17:00.000,Mar,31,Thu,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
808926,male,coloured,22,Western Cape,Supersport Live Events,01:29:08.000,2016-02-19,09:20:00.000,Feb,19,Fri,Weekday,Daytime (09:00 – 15:59),One-Hour Programs (01:00:00 – 01:59:59),Young Adults (18–24)
808926,male,coloured,22,Western Cape,Channel O,00:01:48.000,2016-02-21,08:27:00.000,Feb,21,Sun,Weekend,Early Morning (06:00 – 08:59),Very Short Engagement (00:01:00 – 00:02:59),Young Adults (18–24)
808926,male,coloured,22,Western Cape,Trace TV,00:01:06.000,2016-02-02,12:17:00.000,Feb,2,Tue,Weekday,Daytime (09:00 – 15:59),Very Short Engagement (00:01:00 – 00:02:59),Young Adults (18–24)
808926,male,coloured,22,Western Cape,Supersport Live Events,00:03:14.000,2016-02-25,08:38:00.000,Feb,25,Thu,Weekday,Early Morning (06:00 – 08:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
808926,male,coloured,22,Western Cape,Cartoon Network,00:21:11.000,2016-02-18,14:00:00.000,Feb,18,Thu,Weekday,Daytime (09:00 – 15:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Young Adults (18–24)
771783,male,indian_asian,23,Gauteng,Trace TV,00:04:45.000,2016-02-01,14:51:00.000,Feb,1,Mon,Weekday,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
771783,male,indian_asian,23,Gauteng,SawSee,00:00:13.000,2016-01-30,23:43:00.000,Jan,30,Sat,Weekend,Late Night (23:00 – 00:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Young Adults (18–24)
2368357,male,black,37,Gauteng,SuperSport Blitz,00:03:52.000,2016-03-02,14:32:00.000,Mar,2,Wed,Weekday,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
2368357,male,black,37,Gauteng,Supersport Live Events,00:00:56.000,2016-03-08,12:46:00.000,Mar,8,Tue,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
2368357,male,black,37,Gauteng,Cartoon Network,00:00:00.000,2016-03-08,17:28:00.000,Mar,8,Tue,Weekday,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
2368357,male,black,37,Gauteng,Trace TV,00:00:00.000,2016-03-08,17:28:00.000,Mar,8,Tue,Weekday,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
788616,female,black,44,Gauteng,SuperSport Blitz,00:00:06.000,2016-01-27,14:03:00.000,Jan,27,Wed,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
771785,male,black,43,Gauteng,ICC Cricket World Cup 2011,00:00:46.000,2016-02-28,18:53:00.000,Feb,28,Sun,Weekend,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
630977,male,coloured,28,Gauteng,Trace TV,00:00:15.000,2016-01-16,11:52:00.000,Jan,16,Sat,Weekend,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
808928,male,black,35,Gauteng,Channel O,00:05:30.000,2016-02-13,21:35:00.000,Feb,13,Sat,Weekend,Prime Time (20:00 – 22:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
808928,male,black,35,Gauteng,ICC Cricket World Cup 2011,00:00:00.000,2016-03-01,14:15:00.000,Mar,1,Tue,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
831694,male,None,25,Limpopo,Africa Magic,00:00:02.000,2016-03-02,00:07:00.000,Mar,2,Wed,Weekday,Late Night (23:00 – 00:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
808929,female,black,32,Eastern Cape,Africa Magic,00:00:57.000,2016-01-11,20:18:00.000,Jan,11,Mon,Weekday,Prime Time (20:00 – 22:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
808929,female,black,32,Eastern Cape,Cartoon Network,01:32:32.000,2016-01-24,20:35:00.000,Jan,24,Sun,Weekend,Prime Time (20:00 – 22:59),One-Hour Programs (01:00:00 – 01:59:59),Adults (25–34)
892465,male,black,36,Gauteng,Cartoon Network,00:02:31.000,2016-03-13,20:39:00.000,Mar,13,Sun,Weekend,Prime Time (20:00 – 22:59),Very Short Engagement (00:01:00 – 00:02:59),Mid Adults (35–44)
892465,male,black,36,Gauteng,Channel O,00:00:36.000,2016-03-14,12:38:00.000,Mar,14,Mon,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
892465,male,black,36,Gauteng,CNN,00:00:37.000,2016-03-18,16:04:00.000,Mar,18,Fri,Weekday,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
892465,male,black,36,Gauteng,Vuzu,00:00:20.000,2016-03-19,09:23:00.000,Mar,19,Sat,Weekend,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
892465,male,black,36,Gauteng,Africa Magic,00:00:08.000,2016-03-31,12:45:00.000,Mar,31,Thu,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
892465,male,black,36,Gauteng,Africa Magic,00:00:26.000,2016-03-30,16:13:00.000,Mar,30,Wed,Weekday,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
820335,male,indian_asian,17,Gauteng,ICC Cricket World Cup 2011,00:22:56.000,2016-03-08,11:19:00.000,Mar,8,Tue,Weekday,Daytime (09:00 – 15:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Teens (13–17)
820335,male,indian_asian,17,Gauteng,Cartoon Network,00:00:06.000,2016-03-19,07:10:00.000,Mar,19,Sat,Weekend,Early Morning (06:00 – 08:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Teens (13–17)
820335,male,indian_asian,17,Gauteng,ICC Cricket World Cup 2011,00:00:38.000,2016-03-12,11:38:00.000,Mar,12,Sat,Weekend,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Teens (13–17)
820335,male,indian_asian,17,Gauteng,ICC Cricket World Cup 2011,00:01:52.000,2016-03-12,11:48:00.000,Mar,12,Sat,Weekend,Daytime (09:00 – 15:59),Very Short Engagement (00:01:00 – 00:02:59),Teens (13–17)
820335,male,indian_asian,17,Gauteng,ICC Cricket World Cup 2011,00:27:16.000,2016-03-09,15:14:00.000,Mar,9,Wed,Weekday,Daytime (09:00 – 15:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Teens (13–17)
820335,male,indian_asian,17,Gauteng,ICC Cricket World Cup 2011,00:04:22.000,2016-03-26,14:44:00.000,Mar,26,Sat,Weekend,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Teens (13–17)
830836,male,None,21,Free State,Boomerang,00:00:07.000,2016-03-02,13:07:00.000,Mar,2,Wed,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Young Adults (18–24)
770963,None,None,0,None,Supersport Live Events,00:23:04.000,2016-03-24,11:45:00.000,Mar,24,Thu,Weekday,Daytime (09:00 – 15:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Kids / Tweens (0–12)
770963,None,None,0,None,ICC Cricket World Cup 2011,00:06:10.000,2016-02-25,11:28:00.000,Feb,25,Thu,Weekday,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Kids / Tweens (0–12)
904035,male,black,23,Gauteng,E! Entertainment,00:05:42.000,2016-03-29,21:34:00.000,Mar,29,Tue,Weekday,Prime Time (20:00 – 22:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
868888,male,indian_asian,21,Gauteng,ICC Cricket World Cup 2011,00:06:54.000,2016-03-30,13:55:00.000,Mar,30,Wed,Weekday,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
808930,male,indian_asian,35,Limpopo,Supersport Live Events,00:01:28.000,2016-02-22,10:29:00.000,Feb,22,Mon,Weekday,Daytime (09:00 – 15:59),Very Short Engagement (00:01:00 – 00:02:59),Mid Adults (35–44)
